Application	DDE application name
Microsoft Access	MSAccess
Microsoft Excel for Windows	Excel
Microsoft Excel for the Macintosh	Excel
Microsoft FoxPro¨ for Windows	FoxPro
Microsoft Project for Windows	WinProj
Microsoft Project for the Macintosh	MSProject
Microsoft Word for Windows	WinWord
Microsoft Word for the Macintosh	MSWord or WinWord
Microsoft Windows 3.x Program Manager 	ProgMan
